item,wpl_uom,wpl
1399,LBS_PER_FT,7.65
1400,LBS_PER_FT,7.65
1402,LBS_PER_FT,10.41
1404,LBS_PER_FT,13.6
1405,LBS_PER_FT,13.6
1406,LBS_PER_FT,13.6
1407,LBS_PER_FT,13.6
1408,LBS_PER_SFT,9.3518
1409,LBS_PER_FT,17.21
1410,LBS_PER_FT,21.25
1411,LBS_PER_FT,25.71
1412,LBS_PER_FT,30.6
1413,LBS_PER_FT,35.91
1414,LBS_PER_FT,41.65
1415,LBS_PER_FT,47.81
1416,LBS_PER_FT,54.4
1417,LBS_PER_FT,85
1422,LBS_PER_SFT,11.2716
1423,LBS_PER_FT,0.184
1424,LBS_PER_FT,0.184
1427,LBS_PER_SFT,52.0675
1428,LBS_PER_FT,6.368
1429,LBS_PER_FT,0.288
1431,LBS_PER_FT,0.414
1432,LBS_PER_FT,0.414
1434,LBS_PER_FT,0.414
1435,LBS_PER_FT,0.564
1436,LBS_PER_FT,0.564
1439,LBS_PER_FT,0.564
1440,LBS_PER_FT,0.736
1441,LBS_PER_FT,0.736
1442,LBS_PER_FT,0.736
1443,LBS_PER_FT,0.736
1444,LBS_PER_FT,0.736
1445,LBS_PER_FT,0.932
1446,LBS_PER_FT,0.932
1447,LBS_PER_FT,0.932
1448,LBS_PER_FT,0.932
1449,LBS_PER_FT,0.932
1450,LBS_PER_FT,1.15
1451,LBS_PER_FT,1.15
1452,LBS_PER_FT,1.15
1453,LBS_PER_FT,1.15
1454,LBS_PER_FT,1.15
